datetime,open,high,low,close,symbol
2025-06-19 00:02:00,7.12300,7.12300,7.12300,7.12300,ZAR/KES
2025-06-19 00:12:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 00:17:00,7.14200,7.14200,7.14200,7.14200,ZAR/KES
2025-06-19 00:27:00,7.14600,7.14600,7.14600,7.14600,ZAR/KES
2025-06-19 00:32:00,7.14500,7.14500,7.14500,7.14500,ZAR/KES
2025-06-19 00:37:00,7.15000,7.15000,7.15000,7.15000,ZAR/KES
2025-06-19 00:42:00,7.15400,7.15400,7.15400,7.15400,ZAR/KES
2025-06-19 00:47:00,7.15200,7.15200,7.15200,7.15200,ZAR/KES
2025-06-19 00:52:00,7.15100,7.15100,7.15100,7.15100,ZAR/KES
2025-06-19 01:32:00,7.15700,7.15700,7.15700,7.15700,ZAR/KES
2025-06-19 02:22:00,7.15300,7.15300,7.15300,7.15300,ZAR/KES
2025-06-19 02:27:00,7.15400,7.15400,7.15400,7.15400,ZAR/KES
2025-06-19 02:32:00,7.15400,7.15400,7.15400,7.15400,ZAR/KES
2025-06-19 02:42:00,7.14800,7.14800,7.14800,7.14800,ZAR/KES
2025-06-19 02:47:00,7.14900,7.14900,7.14900,7.14900,ZAR/KES
2025-06-19 02:52:00,7.14700,7.14700,7.14700,7.14700,ZAR/KES
2025-06-19 02:57:00,7.14300,7.14300,7.14300,7.14300,ZAR/KES
2025-06-19 03:02:00,7.14900,7.14900,7.14900,7.14900,ZAR/KES
2025-06-19 03:52:00,7.14600,7.14600,7.14600,7.14600,ZAR/KES
2025-06-19 03:57:00,7.14900,7.14900,7.14900,7.14900,ZAR/KES
2025-06-19 04:02:00,7.15900,7.15900,7.15900,7.15900,ZAR/KES
2025-06-19 04:07:00,7.15800,7.15800,7.15800,7.15800,ZAR/KES
2025-06-19 04:12:00,7.15500,7.15500,7.15500,7.15500,ZAR/KES
2025-06-19 04:17:00,7.15500,7.15500,7.15500,7.15500,ZAR/KES
2025-06-19 04:22:00,7.15500,7.15500,7.15500,7.15500,ZAR/KES
2025-06-19 04:27:00,7.15700,7.15700,7.15700,7.15700,ZAR/KES
2025-06-19 05:02:00,7.13100,7.13100,7.13100,7.13100,ZAR/KES
2025-06-19 05:07:00,7.12700,7.12700,7.12700,7.12700,ZAR/KES
2025-06-19 05:12:00,7.12800,7.12800,7.12800,7.12800,ZAR/KES
2025-06-19 05:17:00,7.13500,7.13500,7.13500,7.13500,ZAR/KES
2025-06-19 05:22:00,7.12700,7.12700,7.12700,7.12700,ZAR/KES
2025-06-19 05:27:00,7.12600,7.12600,7.12600,7.12600,ZAR/KES
2025-06-19 07:37:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 07:42:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 07:47:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 07:52:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 08:32:00,7.13800,7.13800,7.13800,7.13800,ZAR/KES
2025-06-19 08:37:00,7.13900,7.13900,7.13900,7.13900,ZAR/KES
2025-06-19 08:42:00,7.13700,7.13700,7.13700,7.13700,ZAR/KES
2025-06-19 08:47:00,7.13300,7.13300,7.13300,7.13300,ZAR/KES
2025-06-19 08:52:00,7.13100,7.13100,7.13100,7.13100,ZAR/KES
2025-06-19 08:57:00,7.14200,7.14200,7.14200,7.14200,ZAR/KES
2025-06-19 09:02:00,7.12800,7.12800,7.12800,7.12800,ZAR/KES
2025-06-19 09:07:00,7.125,7.125,7.125,7.125,ZAR/KES
2025-06-19 09:12:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 09:17:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 09:22:00,7.12400,7.12400,7.12400,7.12400,ZAR/KES
2025-06-19 09:27:00,7.12300,7.12300,7.12300,7.12300,ZAR/KES
2025-06-19 09:32:00,7.12300,7.12300,7.12300,7.12300,ZAR/KES
2025-06-19 09:37:00,7.12300,7.12300,7.12300,7.12300,ZAR/KES
